,Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,date_colum
0,22.11.2021 22:05:41,23.11.2021,,OK,-126105.03,RUB,-126105.03,RUB,,Переводы,,Перевод Кредитная карта. ТП 10.2 RUR,0,0,126105.03,2021-11-22 22:05:41
1,04.10.2021 10:14:17,04.10.2021,*7197,OK,-91500.0,RUB,-91500.0,RUB,,Медицина,8062.0,Mikrokhirurgya Glaza,1830,0,91500.0,2021-10-04 10:14:17
2,22.10.2021 12:33:57,22.10.2021,,OK,-63021.01,RUB,-63021.01,RUB,,Переводы,,Перевод Кредитная карта. ТП 10.2 RUR,0,0,63021.01,2021-10-22 12:33:57
3,17.11.2021 16:38:23,17.11.2021,,OK,-50000.0,RUB,-50000.0,RUB,,Переводы,,Пополнение вклада,0,0,50000.0,2021-11-17 16:38:23
4,22.12.2021 23:30:44,23.12.2021,,OK,-28001.94,RUB,-28001.94,RUB,,Переводы,,Перевод Кредитная карта. ТП 10.2 RUR,0,0,28001.94,2021-12-22 23:30:44
